ON_DRY_26_AUTO.csv - 	10010101 10011010 00100100 11001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11101111 00000000 10000000 00100000 00000000 00011100 00010000 10101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11101111	00000000 10000000 00100000 00000000 00011100 00010000 10101100	
ON_DRY_27_AUTO.csv - 	10010101 10011010 00000100 11001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111 00000000 01000000 00010000 00000000 00011100 00010000 01011100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111	00000000 01000000 00010000 00000000 00011100 00010000 01011100	
ON_DRY_28_AUTO.csv - 	10010101 10011010 00000100 11001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111 00000000 01000000 00110000 00000000 00011100 00010000 01111100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111	00000000 01000000 00110000 00000000 00011100 00010000 01111100	
ON_DRY_29_AUTO.csv - 	10010101 10011010 00000100 11001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111 00000000 01000000 00001000 00000000 00011100 00010000 01000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111	00000000 01000000 00001000 00000000 00011100 00010000 01000100	
ON_DRY_30_AUTO.csv - 	10010101 10011010 00000100 11001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111 00000000 01000000 00101000 00000000 00011100 00010000 01100100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111	00000000 01000000 00101000 00000000 00011100 00010000 01100100	
ON_HEAT_23_AUTO.csv - 	10010101 10011010 00000000 00001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001011 00000000 01100000 00000000 00000000 00011100 00010000 01101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001011	00000000 01100000 00000000 00000000 00011100 00010000 01101100	
ON_HEAT_24_AUTO.csv - 	10010101 10011010 00000000 00000001 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00000100 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00000100	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_HEAT_25_AUTO.csv - 	10010101 10011010 00000000 00001001 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001100 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001100	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_HEAT_26_AUTO.csv - 	10010101 10011010 00000000 00000101 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00000000 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00000000	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_HEAT_27_AUTO.csv - 	10010101 10011010 00000000 00001101 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001000 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001000	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_COOL_26_AUTO.csv - 	10010101 10011010 00000000 01000101 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01000000 00000000 01100000 00000000 00000000 00011100 00010000 01101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01000000	00000000 01100000 00000000 00000000 00011100 00010000 01101100	
ON_COOL_27_AUTO.csv - 	10010101 10011010 00000000 01001101 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01001000 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01001000	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_COOL_28_AUTO.csv - 	10010101 10011010 00000000 01000011 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01000110 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01000110	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_COOL_29_AUTO.csv - 	10010101 10011010 00000000 01001011 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01001110 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01001110	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
ON_COOL_30_AUTO.csv - 	10010101 10011010 00000000 01000111 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01000010 00000000 01000000 00000000 00000000 00011100 00010000 01001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01000010	00000000 01000000 00000000 00000000 00011100 00010000 01001100	
OFF_COOL_30_AUTO.csv - 	10010101 10011010 00100000 01000111 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01100010 00000000 10000000 00000000 00000000 00010100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01100010	00000000 10000000 00000000 00000000 00010100 00010000 10000100	
